Subject,Label
URGENT: Your bank account has been compromised!,Spam
FREE Viagra for men!,Spam
You've won the lottery!,Spam
Your credit card has been declined.,Spam
Your computer is infected with a virus!,Spam
Lose weight fast and easy!,Spam
Make money online quickly and easily!,Spam
Get rich quick!,Spam
Invest in our new cryptocurrency and earn big returns!,Spam
Click here to claim your free gift!,Spam
Enter our giveaway to win a new iPhone!,Spam
You've been selected for a special offer!,Spam
Don't miss out on our limited-time sale!,Spam
Act now and save 50% on all products!,Spam
Order now and get free shipping!,Spam
Subscribe to our newsletter and get 10% off your first purchase!,Spam
Click here to unsubscribe from our newsletter.,Ham
Your bank account is overdrawn.,Spam
Your account is about to be suspended.,Spam
Verify your account.,Spam
Update your account information.,Spam
Important security alert.,Spam
Limited-time offer: Get 50% off all products!,Spam
Free shipping on all orders over $50!,Spam
New product release: The all-new iPhone 14!,Spam
You're pre-approved for a credit card!,Spam
Apply now for a loan with low interest rates!,Spam
Get a free quote on auto insurance!,Spam
Your social security number has been compromised.,Spam
Your tax refund is ready!,Spam
You've been selected for a jury duty.,Spam
You've been sued.,Spam
You've been subpoenaed.,Spam
Your car has been repossessed.,Spam
Your house has been foreclosed on.,Spam
You've been fired from your job.,Spam
Your spouse is cheating on you.,Spam
Your child is missing.,Spam
"Your bank account has been credited with $10,000!",Spam
You've been selected to receive a government grant!,Spam
You're eligible for a free refund from the IRS!,Spam
Your credit score has improved by 50 points!,Spam
You've been approved for a new credit card with 0% APR!,Spam
You've been invited to join an exclusive club!,Spam
You've won a trip to the Caribbean!,Spam
You're the lucky winner of a new car!,Spam
You've been selected to participate in a clinical trial!,Spam
Your investment has tripled in value!,Spam
You're the sole heir to a vast fortune!,Spam
You've been invited to a job interview at Google!,Spam
Your child has been accepted to Harvard!,Spam
You've been invited to speak at the UN!,Spam
You're the next president of the United States!,Spam
Click here to claim your prize!,Spam
Act now to avoid missing out!,Spam
Don't miss this limited-time offer!,Spam
This is your last chance!,Spam
Don't wait any longer!,Spam
Do it now!,Spam
